Country,Value
The Anti-counterfeit of Medical Equipment and Medication,1
Constant Real-time Monitoring,1
Medical Refuse Information Management,1
Patient Information Management,1
Medical Emergency Management,1
Medication Storage Management,1
Blood Information Management,1
Error Prevention Mechanism of Pharmaceutical Preparations,1
Medical Equipment and Medication Traceability,1
Information Sharing,1263
Ukraine,240
Spain,814
Sweden,83
Switzerland,186
Canada,87
South Korea,587
Belarus,23
Norway,134
Turkey,244
South Africa,74
Czech Republic,110
Poland,3
Belgium,12
Australia,97
Brazil,45
Czechoslovakia,
North Korea,
Finland,58
Uzbekistan,
Japan,2
Slovakia,22
Denmark,12
Bulgaria,
Austria,22
Yugoslavia,
Jordan,77
UAE,72
Singapore,
Moldova,
Unknown supplier(s),7
Indonesia,102
Iran,10
Libya,
Romania,
Portugal,56
India,56
Kazakhstan,
Serbia,2
Ireland,
Hungary,
Others,77
